"kon","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"man",22600,22600,22100,22400,22300,23800,25000,26100,27000,28000,28700,29000,29200,30200,30900,31300,31700,32100,33000,33100,32900,33500,34400,35200,35800,36200,36400,36500
"kvinnor",18500,19000,18400,18900,18900,19900,20700,21400,22300,23000,23600,24100,24500,25300,25900,26300,26500,27000,28100,28400,28300,28900,29700,30600,31300,31900,32300,32600
